TIC ID,Other name ,CV Type,Paper,Link,Key:,,https://iopscience.iop.org/article/10.3847/1538-4357/abf2bc/pdf
900017950,SDSS J105754.25+275947.5,,"SDSS J105754.25+275947.5: a period-bounce eclipsing 
cataclysmic variable with the lowest-mass donor yet measured",https://arxiv.org/pdf/1701.07892.pdf,,,
900160698,SDSS J115207.00+404947.8,,"The evolutionary status of Cataclysmic 
Variables: eclipse modelling of 15 systems",https://academic.oup.com/mnras/article/486/4/5535/5479257,,,
950508354,SDSSJ122740.83+513925.0,,Observations of Faint Eclipsing Cataclysmic Variables,https://arxiv.org/pdf/1009.0115.pdf,,,
1001410470,SDSSJ132723.39+652854.3,SW Sex-type,Observations of Faint Eclipsing Cataclysmic Variables,https://arxiv.org/pdf/1009.0115.pdf,,,
1001915222,CSS080623 J140454−102702,,"The evolutionary status of Cataclysmic 
Variables: eclipse modelling of 15 systems",https://academic.oup.com/mnras/article/486/4/5535/5479259,,,
1002384236,OU Vir,SU UMa DN,ULTRACAM photometry of the eclipsing cataclysmic variable OU Vir,https://academic.oup.com/mnras/article/347/4/1173/998842,,,
1100916855,SDSS J152419.33+220920.0,,"Photometry of the eclipsing cataclysmic variable S
DSS J152419.33+220920.0",https://arxiv.org/pdf/1304.7977.pdf,,,
1102138697,OV Bootis,,X-ray and ultraviolet observations of the eclipsing cataclysmic variables OV Bootis and SDSS J103533.02+055158.3 with degenerate donors,https://arxiv.org/pdf/2101.03059.pdf,,,
1102145986,SDSSJ145758.21+514807.9,,Observations of Faint Eclipsing Cataclysmic Variables,https://arxiv.org/pdf/1009.0115.pdf,,,
1102289520,SDSS J150137.22+550123.4,,"The evolutionary status of Cataclysmic 
Variables: eclipse modelling of 15 systems",https://academic.oup.com/mnras/article/486/4/5535/5479258,,,
1200808784,SDSSJ160745.02+362320.7,,Observations of Faint Eclipsing Cataclysmic Variables,https://arxiv.org/pdf/1009.0115.pdf,,,
1680812612,V849 Oph,CN^e,Observations of Faint Eclipsing Cataclysmic Variables,https://arxiv.org/pdf/1009.0115.pdf,,,
1713419350,V0870 Lyr,NL,"New Variable Hot Subdwarf Stars Identified from Anomalous
 Gaia Flux Errors, Observed by TESS, and Classified 
via Fourier Diagnostics",https://iopscience.iop.org/article/10.3847/1538-4357/ac49f1/pdf,,,
1991765547,CRTS J200331.3-284941,,"The evolutionary status of Cataclysmic 
Variables: eclipse modelling of 15 systems",https://academic.oup.com/mnras/article/486/4/5535/5479266,,,
2055637389,DI Phe ,DN,Cataclysmic variables below the period gap: mass determinations of 14 eclipsing systems,https://academic.oup.com/mnras/article/415/3/2025/1044257,,,
21664200,SDSS J170213.26 +322954.1,SU UMa DN,ULTRACAM observations of SDSS J170213.26 + 322954.1 – an eclipsing cataclysmic variable in the period gap,https://academic.oup.com/mnras/article/371/3/1435/1009884?searchresult=1,,,
,,,,,,,
Total 50 ,,,,,,,
